episode,timestep,reward
2398,1800000,119.2967
2400,1802000,131.7661
2402,1804000,84.0983
2404,1806000,105.8833
2406,1808000,84.1172
2408,1810000,77.0643
2410,1812000,77.7657
2412,1814000,39.3336
2414,1816000,85.7343
2416,1818000,95.4538
2418,1820000,111.2158
2420,1822000,74.6851
2422,1824000,103.6375
2424,1826000,72.6381
2426,1828000,90.3357
2428,1830000,-95.5714
2430,1832000,73.0481
2432,1834000,61.4944
2434,1836000,67.4822
2436,1838000,52.3916
2438,1840000,62.0095
2440,1842000,113.7581
2442,1844000,61.3684
2444,1846000,46.3469
2446,1848000,62.5554
2448,1850000,70.2339
2450,1852000,57.1095
2452,1854000,75.9762
2454,1856000,51.8128
2456,1858000,78.0978
2458,1860000,92.0341
2460,1862000,13.9323
2462,1864000,100.9907
2465,1866000,125.6256
2467,1868000,57.7434
2469,1870000,-68.6286
2471,1872000,40.8108
2473,1874000,55.4598
2475,1876000,98.3428
2477,1878000,73.3755
2479,1880000,95.7971
2481,1882000,92.0025
2483,1884000,85.1428
2485,1886000,82.6249
2487,1888000,91.905
2489,1890000,149.1093
2492,1892000,-16.2131
2494,1894000,96.8709
2496,1896000,68.6995
2498,1898000,135.0843
2500,1900000,129.5052
2502,1902000,82.7788
2504,1904000,102.0641
2506,1906000,66.7708
2508,1908000,82.1366
2510,1910000,106.8652
2512,1912000,43.7046
2514,1914000,111.1779
2516,1916000,86.8587
2518,1918000,99.7459
2520,1920000,175.4302
2522,1922000,83.4859
2524,1924000,102.3401
2526,1926000,93.9155
2528,1928000,52.1831
2531,1930000,140.934
2533,1932000,80.0803
2535,1934000,77.0163
2537,1936000,27.2122
2539,1938000,101.0011
2541,1940000,122.961
2543,1942000,109.563
2545,1944000,102.6491
2547,1946000,104.0127
2549,1948000,59.8805
2551,1950000,87.1462
2553,1952000,96.8721
2555,1954000,91.8008
2557,1956000,121.2682
2559,1958000,79.1525
2561,1960000,55.7062
2563,1962000,105.1074
2565,1964000,152.2838
2567,1966000,83.9692
2569,1968000,96.4096
2571,1970000,68.0212
2574,1972000,82.1582
2576,1974000,72.1742
2579,1976000,145.343
2581,1978000,74.6685
2583,1980000,146.7165
2585,1982000,114.8657
2587,1984000,55.8267
2589,1986000,59.7252
2591,1988000,6.7769
2593,1990000,68.869
2595,1992000,1.7104
2598,1994000,76.3648
2600,1996000,84.2952
2602,1998000,75.1232
2604,2000000,66.1554
2606,2002000,64.6657
2608,2004000,67.1506
2610,2006000,51.0537
2612,2008000,70.9339
2614,2010000,69.0191
2616,2012000,97.5227
2618,2014000,95.4717
2620,2016000,80.8352
2622,2018000,106.9437
2624,2020000,55.5503
2626,2022000,57.2094
2628,2024000,72.4086
2630,2026000,180.9364
2632,2028000,135.9306
2634,2030000,82.0826
2636,2032000,96.9823
2638,2034000,58.5329
2640,2036000,89.4524
2642,2038000,118.8536
2644,2040000,92.5523
2646,2042000,66.6271
2648,2044000,93.0905
2650,2046000,77.3119
2652,2048000,95.4168
2654,2050000,89.3167
2656,2052000,100.6095
2658,2054000,109.7323
2660,2056000,97.7386
2662,2058000,111.7304
2664,2060000,80.1987
2666,2062000,105.6846
2668,2064000,107.8772
2670,2066000,116.5588
2672,2068000,104.0819
2674,2070000,57.1787
2676,2072000,102.3299
2678,2074000,97.3663
2680,2076000,140.0533
2682,2078000,102.316
2684,2080000,120.667
2686,2082000,78.1679
2688,2084000,92.7994
2690,2086000,82.7853
2692,2088000,108.0045
2694,2090000,78.8623
2696,2092000,-75.8024
2698,2094000,117.5578
2700,2096000,102.5544
2702,2098000,86.8905
2704,2100000,109.5646
2706,2102000,115.7991
2708,2104000,118.7615
2710,2106000,77.5089
2712,2108000,83.1228
2714,2110000,92.7581
2716,2112000,39.3296
2718,2114000,-39.6726
2720,2116000,86.2167
2722,2118000,55.4511
2724,2120000,77.5479
2726,2122000,121.7833
2728,2124000,107.9778
2730,2126000,123.4812
2732,2128000,89.961
2734,2130000,86.8526
2736,2132000,101.4625
2738,2134000,100.7658
2740,2136000,94.7431
2742,2138000,73.3081
2745,2140000,106.2301
2747,2142000,76.9737
2749,2144000,109.7275
2751,2146000,77.1597
2753,2148000,105.0319
2755,2150000,69.9478
2757,2152000,78.6555
2759,2154000,105.2085
2761,2156000,39.2686
2763,2158000,83.1428
2765,2160000,56.4916
2767,2162000,108.4081
2769,2164000,143.1783
2771,2166000,49.3708
2773,2168000,73.8367
2775,2170000,90.2544
2777,2172000,71.3378
2779,2174000,61.6684
2781,2176000,-82.0065
2783,2178000,61.8786
2785,2180000,60.5966
2787,2182000,76.1945
2789,2184000,85.3766
2791,2186000,85.9265
2793,2188000,41.6698
2795,2190000,79.766
2797,2192000,111.3626
2799,2194000,100.2044
2801,2196000,113.6217
2803,2198000,33.6881
2805,2200000,185.2993
2807,2202000,68.3936
2809,2204000,88.9813
2811,2206000,106.0225
2813,2208000,50.2537
2815,2210000,113.5768
2817,2212000,75.7505
2819,2214000,103.1823
2821,2216000,117.7972
2823,2218000,87.8345
2825,2220000,42.7102
2827,2222000,121.4331
2830,2224000,139.7551
2832,2226000,79.4429
2834,2228000,43.0093
2836,2230000,90.3797
2838,2232000,93.9118
2840,2234000,99.1703
2842,2236000,68.8664
2844,2238000,95.0563
2846,2240000,83.403
2848,2242000,87.8876
2850,2244000,74.8803
2852,2246000,118.508
2854,2248000,38.6562
2856,2250000,67.6627
2858,2252000,94.055
2860,2254000,89.6835
2862,2256000,39.6068
2864,2258000,67.4112
2866,2260000,91.5632
2868,2262000,77.2099
2871,2264000,83.9875
2873,2266000,123.2692
2875,2268000,55.677
2877,2270000,88.7904
2879,2272000,112.5061
2881,2274000,82.6826
2883,2276000,87.4418
2885,2278000,67.6871
2887,2280000,1.9531
2889,2282000,88.458
2891,2284000,54.2079
2893,2286000,114.9825
2895,2288000,108.7879
2897,2290000,90.156
2899,2292000,93.7525
2901,2294000,92.6473
2903,2296000,63.3145
2905,2298000,89.8291
2907,2300000,31.5507
2909,2302000,65.4431
2911,2304000,94.1975
2913,2306000,106.309
2915,2308000,88.0976
2917,2310000,103.1164
2919,2312000,139.0594
2921,2314000,95.2953
2924,2316000,-15.5238
2926,2318000,43.7236
2928,2320000,72.725
2930,2322000,99.8991
2932,2324000,85.1997
2934,2326000,109.4623
2936,2328000,75.635
2938,2330000,103.1055
2940,2332000,66.1104
2942,2334000,114.574
2944,2336000,32.7996
2946,2338000,62.3813
2948,2340000,94.5103
2950,2342000,94.6173
2952,2344000,67.0504
2954,2346000,114.1352
2956,2348000,99.7211
2958,2350000,51.023
2960,2352000,90.4286
2962,2354000,77.0265
2964,2356000,112.6589
2966,2358000,105.5079
2968,2360000,107.1039
2970,2362000,95.9367
2972,2364000,92.2576
2974,2366000,78.9244
2976,2368000,99.3126
2978,2370000,62.7059
2980,2372000,92.5247
2982,2374000,-152.8517
2984,2376000,52.5578
2986,2378000,81.6702
2988,2380000,111.9549
2990,2382000,38.3382
2992,2384000,-3.5216
2994,2386000,-29.8035
2996,2388000,78.1292
2998,2390000,65.3674
3000,2392000,59.7671
3002,2394000,83.6818
3004,2396000,62.8611
3006,2398000,-53.0953
3008,2400000,-77.9407
3010,2402000,79.4243
3012,2404000,45.9464
3015,2406000,-44.2964
3017,2408000,103.7052
3019,2410000,76.9985
3021,2412000,-101.1545
3023,2414000,65.0729
3025,2416000,69.1585
3027,2418000,46.0242
3029,2420000,77.0147
3031,2422000,95.2594
3033,2424000,65.2513
3035,2426000,82.7473
3037,2428000,62.1974
3039,2430000,108.5784
3041,2432000,32.9611
3043,2434000,96.4012
3045,2436000,81.039
3047,2438000,92.7534
3049,2440000,83.2852
3051,2442000,109.2926
3053,2444000,54.9817
3055,2446000,85.0004
3057,2448000,65.5074
3059,2450000,89.0998
3061,2452000,82.3515
